[text];[hashtagsearch];[createdata];[languagetweet];[idtweet];[idstrtweet];[source];[urlscount];[urls];[counthashtags];[dateget];[hashtags];[inreplytostatusid];[inreplytouserid];[searchresulttype];;;;;;
"	RT @Catarineg658: Quando Vc Recebe Mensagem do Seu Crush Vc Fica Assim #Dorama #feliz ELagrimaAlegria ECoracao  {https}://t.co/9kgt8Fjri2	";",#Feliz""";02/09/2017 19:17;pt;9,04061E+17;9,04061E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/U8TiFfIANU;";3;02/09/2017 23:27;"#boa;#sábado;#feliz;";9,03449E+17;52445111;Recent;;;;;;
"	meu deus minha empresa fez a primeira venda #feliz	";",#Feliz""";02/09/2017 19:13;pt;9,0406E+17;9,0406E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;"https://t.co/bukWrAgUwf;";5;02/09/2017 23:27;"#Feliz;#Fifa18;#NintendoSwitch;#Metroid;#3DS;";9,03398E+17;7,88058E+17;Recent;;;;;;
"	Passando só pra exibir minha loirice e mostrar minha aliança ELagrimaAlegria ELagrimaAlegria ELagrimaAlegria  #negalora #casada #Feliz {https}://t.co/YGBvBNsNNj	";#Feliz;02/09/2017 19:05;pt;9,04058E+17;9,04058E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/YDI5HkSsz2;";5;02/09/2017 23:27;"#babe;#saúde;#parabéns;#feliz;#aniversário;";9,03419E+17;214171086;Recent;;;;;;
"	Elas também tem mais equilibrio!";",#Feliz""";02/09/2017 18:50;pt;9,04054E+17;9,04054E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/bw1SzUCrVU;";6;02/09/2017 23:27;"#tkd;#feliz;#deusnocomando;#god;#tkdlove;#livre;";9,03426E+17;335514539;Recent;;;;;;
#feliz #equilibrio #pessoasfelizes {https}://t.co/2R03mt2NzF;#Feliz;02/09/2017 18:40;pt;9,04051E+17;9,04051E+17;"<a href=http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>""";0;"https://t.co/5K1UznTyO7;";1;02/09/2017 23:27;"#feliz;";9,04033E+17;272940691;Recent;;;;;;
"	Gostei daquele homem";#Feliz;02/09/2017 17:55;pt;9,0404E+17;9,0404E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;"https://t.co/CRfhR1kz7C;";1;02/09/2017 23:27;"#feliz;";9,03967E+17;7,89104E+17;Recent;;;;;;
#Feliz {https}://t.co/GTV2ndlwZF;#Feliz;02/09/2017 17:50;pt;9,04039E+17;9,04039E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;"https://t.co/B6VzRhP3go;";1;02/09/2017 23:27;"#feliz;";9,03972E+17;4440277061;Recent;;;;;;
"	Esperando a visitinha chegar...";",#Feliz""";02/09/2017 17:44;pt;9,04037E+17;9,04037E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/V7yuncMrco;";6;02/09/2017 23:27;"#dehoje;#semfiltro;#sorriso;#pompadour;#feliz;#selfie;";9,04005E+17;7,28004E+17;Recent;;;;;;
#feliz;",#Feliz""";02/09/2017 17:43;pt;9,04037E+17;9,04037E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/85s3C7Xlrc;";4;02/09/2017 23:27;"#amiga;#Minnie;#criança;#feliz;";9,03993E+17;193268078;Recent;;;;;;
#boracolocaropapoemdia;#Feliz;02/09/2017 17:40;pt;9,04036E+17;9,04036E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";0;1;1;02/09/2017 23:27;"#feliz;";9,03614E+17;358404747;Recent;;;;;;
#Deusehbomtodotempo {https}://t.co/WWu6yfUXQO;#Feliz;02/09/2017 17:36;pt;9,04035E+17;9,04035E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;0;6;02/09/2017 23:27;"#feliz;#aniversário;#drinks;#italofaz18;#amizade;#saude;";9,03436E+17;3025563687;Recent;;;;;;
"	Acabei de levantar meu colchão e achei 40 reais no box da cama, que deve estar ali a umas três semanas, #FELIZ	";#Feliz;02/09/2017 17:12;pt;9,04029E+17;9,04029E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/8HzT6wGYj0;";2;02/09/2017 23:27;"#Feliz;#MelhorMomento;";9,03584E+17;8,891E+17;Recent;;;;;;
"	Como deixar a #mammys muito, mas muito #feliz ??? ESorridente ";",#Feliz""";02/09/2017 17:03;pt;9,04027E+17;9,04027E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/03Hj1ZIf1N;";7;02/09/2017 23:27;"#happy;#feliz;#delicia;#lindo;#flores;#Expoflora;#expoflora2017;";9,03461E+17;48186490;Recent;;;;;;
Dando um EPresente #super EPresente  #presente EPresente  para meus… {https}://t.co/nTikqPQTR6;#Feliz;02/09/2017 15:44;pt;9,04007E+17;9,04007E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;"https://t.co/8liG5Q4Unf;";1;02/09/2017 23:27;"#Feliz;";9,03452E+17;27963705;Recent;;;;;;
"	Com ele fica tudo mais bonito!";#Feliz;02/09/2017 15:32;pt;9,04004E+17;9,04004E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";0;"https://t.co/yZgE1ncfEO;";3;02/09/2017 23:27;"#Nunca;#Ser;#Feliz;";9,03445E+17;16867831;Recent;;;;;;
Amore mio Aldo ECoracao ?;",#Feliz""";02/09/2017 15:27;pt;9,04003E+17;9,04003E+17;"<a href=http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>""";0;"https://t.co/Y0utmasPom;";6;02/09/2017 23:27;"#famosos;#dm;#surpresa;#conta;#feliz;#sdv;";9,03422E+17;7,14972E+17;Recent;;;;;;
#amor #esposo #parque #feliz #destraido… {https}://t.co/6Iw5IsSEAj;",#Feliz""";02/09/2017 14:58;pt;9,03996E+17;9,03996E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";0;"https://t.co/DKIULe1t28;";2;02/09/2017 23:27;"#feliz;#sun;";9,03419E+17;9,00555E+17;Recent;;;;;;
"	RT @nicolasprattes: Alguém aí já ouviu falar do festival de SUNDANCE ?!!!";#Feliz;02/09/2017 14:48;pt;9,03993E+17;9,03993E+17;"<a href=https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>""";0;"https://t.co/7mv42fSVkt;";1;02/09/2017 23:27;"#FELIZ;";9,03414E+17;355143374;Recent;;;;;;
Pois é ........TSorridente )))))))))))));#Feliz;02/09/2017 14:44;pt;9,03992E+17;9,03992E+17;"<a href=http://theqube.oire.org/"" rel=""nofollow"">TheQube</a>""";0;"https://t.co/DKAPIlfQVI;";1;02/09/2017 23:27;"#Feliz;";9,03413E+17;430632132;Recent;;;;;;
#Feliz;#Feliz;02/09/2017 14:39;pt;9,03991E+17;9,03991E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/xpEvotlwiW;";2;02/09/2017 23:27;"#sorria;#feliz;";9,03411E+17;798888272;Recent;;;;;;
"	Faça por você, esqueça os outros??";#Feliz;02/09/2017 14:36;pt;9,0399E+17;9,0399E+17;"<a href=http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>""";0;"https://t.co/28KiHZ8Iim;";1;02/09/2017 23:27;"#FELIZ;";9,0337E+17;7,57996E+17;Recent;;;;;;
#boa tarde #sábado #feliz em Ceará {https}://t.co/aE6EpdJLFO;#Feliz;02/09/2017 14:27;pt;9,03988E+17;9,03988E+17;"<a href=http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>""";0;"https://t.co/XGwQIl8Gdw;";2;02/09/2017 23:27;"#FELIZ;#Foi_Deus;";9,03324E+17;7,5301E+17;Recent;;;;;;
"	#Feliz pq vou poder pegar #Fifa18 no #NintendoSwitch e #Metroid no #3DS ESorridente 	"; ñ foi o Homem quem me deu. ;02/09/2017 14:22;pt;9,03986E+17;9,03986E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";1;"https://t.co/TdgaK2ksHJ;";10;02/09/2017 23:27;"#jeans;#melissa;#sabado;#feliz;#linda;#diva;#amor;#twitterlove;#paz;#hoje;";9,03218E+17;4638344843;Recent;;;;;;
"	Parabéns Miguel, 7 mesinhos hj. O grude do Tio!";",#Feliz""";02/09/2017 14:14;pt;9,03984E+17;9,03984E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";0;"https://t.co/ALPvjlTuWp;";5;02/09/2017 23:27;"#feliz;#papai;#maisum;#jásãooito;#paidemenino;";9,03068E+17;7,5301E+17;Recent;;;;;;
#babe #saúde #parabéns #feliz #aniversário… {https}://t.co/tS1mqiDhJZ;",#Feliz""";02/09/2017 14:00;pt;9,03981E+17;9,03981E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/djRzsk1RNR;";6;02/09/2017 23:27;"#sabado;#feliz;#bomdia;#inspiracao;#familia;#paz;";9,03014E+17;1631680189;Recent;;;;;;
"	Sabadão, Sol, calor de bsb pede aquela loira top #tkd #feliz #deusnocomando #god #tkdlove #livre… {https}://t.co/8xeRVhobB1	";#Feliz;02/09/2017 13:58;pt;9,0398E+17;9,0398E+17;"<a href=http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>""";0;"https://t.co/DZQqhzkwEA;";5;02/09/2017 23:27;"#feliz;#papai;#maisum;#jásãooito;#paidemenino;";9,03022E+17;327745473;Recent;;;;;;
"	To indo ver a minha loira. #feliz ausihcuisahcui	";#Feliz;02/09/2017 13:24;pt;9,03972E+17;9,03972E+17;"<a href=http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>""";0;"https://t.co/N6dfVR4STH;";1;02/09/2017 23:27;"#Feliz;";9,02958E+17;135906835;Recent;;;;;;
"	3 livros em uma semana mds to lendo demais #feliz	";#Feliz;02/09/2017 13:14;pt;9,03969E+17;9,03969E+17;"<a href=http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>""";0;"https://t.co/fCvIuWhG7L;";2;02/09/2017 23:27;"#Feliz;#PoremPuto;";9,02955E+17;7,72578E+17;Recent;;;;;;
"	Um cara na rua me chamou de tais araújo e minha amiga de cleo pires, socorro ";",#Feliz""";02/09/2017 13:04;pt;9,03967E+17;9,03967E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/He0dL0G05K;";5;02/09/2017 23:27;"#viagemtop;#aprendizados;#bomvoltar;#sabado;#feliz;";9,02861E+17;2465213618;Recent;;;;;;
#feliz;",#Feliz""";02/09/2017 13:04;pt;9,03967E+17;9,03967E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";0;"https://t.co/89VWkhtmn0;";4;02/09/2017 23:27;"#Alah;#Feliz;#Abençoado;#EidalAdha2017;";9,02724E+17;8,89603E+17;Recent;;;;;;
"	Sábado é dia de passeio na roça ...!!!";",#Feliz""";02/09/2017 12:56;pt;9,03965E+17;9,03965E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;"https://t.co/RCeWVYUY1J;";1;02/09/2017 23:27;"#feliz;";9,02741E+17;10485482;Recent;;;;;;
#dehoje #semfiltro #sorriso #pompadour #feliz #selfie… {https}://t.co/1q6hpez9Fv;#Feliz;02/09/2017 12:53;pt;9,03964E+17;9,03964E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/QkjiaefilC;";5;02/09/2017 23:27;"#amei;#ameiocarinho;#obrigadapelocarinho;#feliz;#amomuitotudoisso;";9,02681E+17;609577468;Recent;;;;;;
"	Olha minha #amiga #Minnie Pense numa #criança #feliz Pense! Somente elezinho pra me fazer essas… {https}://t.co/bP27zvEVtE	";#Feliz;02/09/2017 12:39;pt;9,03961E+17;9,03961E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/cFuTYkOEqY;";5;02/09/2017 23:27;"#feliz;#happy;#love;#behappy;#thankyougod;";9,02641E+17;7,43253E+17;Recent;;;;;;
"	Hoje tem open uhul #feliz	";",#Feliz""";02/09/2017 12:21;pt;9,03956E+17;9,03956E+17;"<a href=http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>""";0;"https://t.co/8ksnwKo8UG;";2;02/09/2017 23:27;"#feliz;#buenosdias;";9,02613E+17;38799818;Recent;;;;;;
"	Não é mesmo @eliane_aju !? Rs #feliz #aniversário #drinks #italofaz18 #amizade #saude em Jardim… {https}://t.co/PtoUk4NqD0	";#Feliz;02/09/2017 12:01;pt;9,03951E+17;9,03951E+17;"<a href=http://etus.com.br"" rel=""nofollow"">Etus Brasil</a>""";0;"https://t.co/Joupf64JSh;";5;02/09/2017 23:27;"#felicidade;#feliz;#bomdia;#sejafeliz;#MendonçaAguiar;";9,02344E+17;337700509;Recent;;;;;;
"	E o cabelo de 2015 voltou!!!";#Feliz;02/09/2017 11:51;pt;9,03948E+17;9,03948E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;9,0408E+17;4;02/09/2017 23:27;"#dia;#de;#ser;#feliz;";9,02214E+17;202889301;Recent;;;;;;
#Feliz #MelhorMomento {https}://t.co/GTWTw3HuNu;#Feliz;02/09/2017 11:38;pt;9,03945E+17;9,03945E+17;"<a href=https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>""";0;"https://t.co/NMhHk9dyPE;";1;02/09/2017 23:27;"#Feliz;";9,02298E+17;7,06685E+17;Recent;;;;;;
"	Sabadeira de trabalho!! ESorridente EFlor EFlor EFlor ??ECoracao  #happy #feliz #delicia #lindo #flores #Expoflora #expoflora2017… {https}://t.co/35nKnXz1pf	";",#Feliz""";02/09/2017 08:50;pt;9,03903E+17;9,03903E+17;"<a href=https://www.facebook.com/1asocialmedia"" rel=""nofollow"">1AManager</a>""";0;"https://t.co/oFmMJO55vd;";1;02/09/2017 23:27;"#Feliz;";9,02282E+17;1714188090;Recent;;;;;;
"	RT @_Edu6971: @reginac66472149 @edna22n2 @Eliany47 Bom diaaa Regina e qrdos amigos (as)! Ótimo sábado #Feliz mês de setembro pra vcs bjus q…	";#Feliz;02/09/2017 08:18;pt;9,03895E+17;9,03895E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/8lGRte50nb;";4;02/09/2017 23:27;"#bomdia;#bomdiaalegria;#feliz;#happy;";9,02215E+17;7,26518E+17;Recent;;;;;;
"	&lt;*.*&gt;";#Feliz;02/09/2017 08:15;pt;9,03894E+17;9,03894E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;"https://t.co/9TJGYGpF3h;";6;02/09/2017 23:27;"#Sabado;#Feliz;#Trans;#shemale;#travesti;#travestiBrasil;";9,02148E+17;7,68114E+17;Recent;;;;;;
#Nunca é Tarde Para #Ser #Feliz...; be you ;02/09/2017 06:48;pt;9,03872E+17;9,03872E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";0;"https://t.co/oh9WdHnT7Y;";2;02/09/2017 23:27;"#Dorama;#feliz;";9,02004E+17;67968198;Recent;;;;;;
*((A))*;",#Feliz""";02/09/2017 05:38;pt;9,03855E+17;9,03855E+17;"<a href=http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>""";0;"https://t.co/xzntAaGwrV;";3;02/09/2017 23:27;"#viverde;#feliz;#parabensproceis;";9,0197E+17;3126360336;Recent;;;;;;
"	RT @SorteiosDms1: Rt se vc quer dm surpresa ";",#Feliz""";02/09/2017 05:35;pt;9,03854E+17;9,03854E+17;"<a href=http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>""";0;"https://t.co/fnBOsjI99L;";1;02/09/2017 23:27;"#Feliz;";9,01867E+17;19622905;Recent;;;;;;
#famosos #dm #surpresa #conta #feliz #sdv;#Feliz;02/09/2017 04:54;pt;9,03843E+17;9,03843E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";0;"https://t.co/EpLKBlNlcj;";1;02/09/2017 23:27;"#feliz;";9,01925E+17;3047331567;Recent;;;;;;
"	Aii que dia lindo que tá hoje #feliz #sun	";#Feliz;02/09/2017 04:52;pt;9,03843E+17;9,03843E+17;"<a href=http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>""";1;"https://t.co/KWfONEFZOP;";11;02/09/2017 23:27;"#feliz;#felizes;#felices;#meme;#memes;#peitos;#bundas;#tia;#tias;#sobrinhos;#sobrinho;";9,0191E+17;71049518;Recent;;;;;;
"	RT @juliapapile: HOJE VÃO TER TRÊS VÍDEOS #FELIZ	";#Feliz;02/09/2017 04:45;pt;9,03841E+17;9,03841E+17;"<a href=http://instagram.com"" rel=""nofollow"">Instagram</a>""";1;"https://t.co/DnoOUCptEu;";6;02/09/2017 23:27;"#feliz;#abencodospordeus;#Vivalavida;#NaPazDeDeus;#maedemenina;#sigoinvicto;";9,01897E+17;349694863;Recent;;;;;;
"	Bom dia pessoal! Nunca tive tão feliz na minha vida de ontem pra hoje. Acabei ganhando uma coisa de um amigo meu que não esperava! #Feliz	";#Feliz;02/09/2017 04:10;pt;9,03832E+17;9,03832E+17;"<a href=http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>""";0;"https://t.co/4ZyOjlvEqv;";2;02/09/2017 23:27;"#animada;#feliz;";9,01856E+17;1729579807;Recent;;;;;;
